Module	Section	Sample Name	Source
QualiMap	genome_results	D197-D192T37.sort	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T37_BAMqc/genome_results.txt
QualiMap	genome_results	D197-D192T38.sort	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T38_BAMqc/genome_results.txt
QualiMap	coverage_histogram	D197-D192T27_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T27_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	D197-D192T28_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T28_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	D197-D192T29_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T29_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	D197-D192T30_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T30_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	D197-D192T31_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T31_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	D197-D192T32_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T32_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	D197-D192T33_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T33_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	D197-D192T34_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T34_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	D197-D192T35_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T35_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	D197-D192T36_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T36_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	D197-D192T37_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T37_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	coverage_histogram	D197-D192T38_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T38_BAMqc/raw_data_qualimapReport/coverage_histogram.txt
QualiMap	insert_size_histogram	D197-D192T27_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T27_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	D197-D192T28_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T28_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	D197-D192T29_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T29_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	D197-D192T30_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T30_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	D197-D192T31_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T31_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	D197-D192T32_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T32_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	D197-D192T33_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T33_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	D197-D192T34_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T34_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	D197-D192T35_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T35_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	D197-D192T36_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T36_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	D197-D192T37_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T37_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	insert_size_histogram	D197-D192T38_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T38_BAMqc/raw_data_qualimapReport/insert_size_histogram.txt
QualiMap	mapped_gc_distribution	D197-D192T27_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T27_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	D197-D192T28_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T28_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	D197-D192T29_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T29_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	D197-D192T30_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T30_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	D197-D192T31_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T31_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	D197-D192T32_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T32_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	D197-D192T33_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T33_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	D197-D192T34_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T34_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	D197-D192T35_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T35_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	D197-D192T36_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T36_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	D197-D192T37_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T37_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
QualiMap	mapped_gc_distribution	D197-D192T38_BAMqc	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/alignmentQC/D197-D192T38_BAMqc/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
featureCounts	all_sections	D197-D192T27.sort	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/counting_featureCounts/countTables/D197-D192T27_table.tsv.summary
featureCounts	all_sections	D197-D192T28.sort	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/counting_featureCounts/countTables/D197-D192T28_table.tsv.summary
featureCounts	all_sections	D197-D192T29.sort	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/counting_featureCounts/countTables/D197-D192T29_table.tsv.summary
featureCounts	all_sections	D197-D192T30.sort	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/counting_featureCounts/countTables/D197-D192T30_table.tsv.summary
featureCounts	all_sections	D197-D192T31.sort	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/counting_featureCounts/countTables/D197-D192T31_table.tsv.summary
featureCounts	all_sections	D197-D192T32.sort	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/counting_featureCounts/countTables/D197-D192T32_table.tsv.summary
featureCounts	all_sections	D197-D192T33.sort	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/counting_featureCounts/countTables/D197-D192T33_table.tsv.summary
featureCounts	all_sections	D197-D192T34.sort	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/counting_featureCounts/countTables/D197-D192T34_table.tsv.summary
featureCounts	all_sections	D197-D192T35.sort	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/counting_featureCounts/countTables/D197-D192T35_table.tsv.summary
featureCounts	all_sections	D197-D192T36.sort	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/counting_featureCounts/countTables/D197-D192T36_table.tsv.summary
featureCounts	all_sections	D197-D192T37.sort	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/counting_featureCounts/countTables/D197-D192T37_table.tsv.summary
featureCounts	all_sections	D197-D192T38.sort	/shared/projects/bi4edc/RASflow_IFB/results/LXACT_wholedata/mapping_hisat2/counting_featureCounts/countTables/D197-D192T38_table.tsv.summary
